run,25%,50%,75%,count,max,mean,min,std,price_solo,price_pooled,size,n_fleets,Type,pc_diff_mean,pc_diff,pc_diff_mean_wrt_baseline
3,2.5,3.575000047683716,4.783339500427246,1263.0,14.083333015441896,3.758387804031372,0.0,1.94571852684021,1.0,1.0,1.0,1,RH solo,4.9968798308254865,0.05239488271741871,0.0
4,2.283333301544189,3.397013902664185,4.617777824401856,1276.0,13.983333587646484,3.5795233249664307,0.0,1.9517664909362795,1.0,1.0,1.0,2,RH solo,0.0,0.0,0.0
5,2.033333301544189,3.025000095367432,4.331666827201843,1262.0,13.68333339691162,3.353900194168091,0.0,1.9743479490280151,1.0,1.0,1.0,5,RH solo,-6.30316135181088,-0.10951200611954891,0.0
6,2.137291729450226,2.9989583492279053,4.059027791023254,1344.0,14.283333778381348,3.261222124099731,0.0,1.7726458311080933,1.0,1.0,1.64,5,RH solo,-8.892278998340784,-0.11717807605205727,0.0
7,2.1052380204200745,2.936931848526001,3.867708921432495,1346.0,12.366666793823242,3.140927791595459,0.0,1.6344819068908691,1.0,1.0,2.0,5,RH solo,-12.252903349221363,-0.13543720082433405,0.0
8,2.0047619342803955,2.748016357421875,3.616670846939087,1393.0,14.0,2.950662136077881,0.0,1.59952712059021,1.0,1.0,4.0,5,RH solo,-17.568294205610393,-0.19104942276901457,0.0
10,2.5166680812835693,3.472908973693848,4.534950494766235,1355.0,14.283333778381348,3.6155622005462646,0.0,1.751481056213379,1.0,1.0,1.64,2,RH solo,1.0068065579701724,0.022341701625106878,0.0
11,2.4241607189178467,3.323959469795227,4.258333206176758,1372.0,14.133333206176758,3.4742321968078613,0.0,1.6857906579971311,1.0,1.0,2.0,2,RH solo,-2.9414846223849307,-0.02150548539458828,0.0
12,2.382516860961914,3.217689275741577,4.0333333015441895,1393.0,14.266666412353516,3.355701446533203,0.0,1.5926638841629028,1.0,1.0,4.0,2,RH solo,-6.252840339721116,-0.05278889991647326,0.0
14,2.6083333492279053,3.642499923706055,4.935555696487427,1263.0,14.300000190734863,3.939208507537842,0.0,2.1073596477508545,0.47,0.47,1.0,2,RH solo,10.048410079148857,0.0722652388467831,10.048410079148857
15,2.210416615009308,3.262500047683716,4.497222185134888,1238.0,14.350000381469728,3.502967834472656,0.0,1.917659401893616,0.47,0.47,1.0,5,RH solo,-2.1387062897402074,-0.03959767573367117,4.444605732864989
16,2.355555534362793,3.267779588699341,4.373339653015137,1325.0,13.483333587646484,3.495765686035156,0.0,1.7473772764205933,0.47,0.47,1.64,5,RH solo,-2.3399104106148085,-0.03804350458015178,7.191891659332194
17,2.4068862199783325,3.2497204542160034,4.151231288909912,1354.0,14.266666412353516,3.404150485992432,0.0,1.6118894815444946,0.47,0.47,2.0,5,RH solo,-4.899334996668676,-0.04335968373066221,8.380412154055508
18,2.4552159309387207,3.148810625076294,3.9061570167541504,1391.0,13.31666660308838,3.287139177322388,0.0,1.408320069313049,0.47,0.47,4.0,5,RH solo,-8.16824255913417,-0.0730651344680197,11.403441862434438
20,2.3499999046325684,3.479725956916809,4.698609709739685,1176.0,14.75,3.719655990600586,0.0,2.046966075897217,0.27,0.27,1.0,2,RH solo,3.914841528109597,0.02434845915342156,3.914841528109597
21,2.1626665592193604,3.299999952316284,4.579999923706055,1221.0,13.966666221618652,3.554530620574951,0.0,1.992539882659912,0.27,0.27,1.0,5,RH solo,-0.6982132011030792,-0.028558596793441277,5.982003482265971
22,2.433333396911621,3.41333556175232,4.576666831970215,1309.0,14.899999618530272,3.6579225063323975,0.0,1.8806037902832031,0.27,0.27,1.64,5,RH solo,2.1902128928494142,0.0048047077685887995,12.16416322277271
23,2.4260424375534058,3.259518384933472,4.292083024978638,1351.0,12.883333206176758,3.438253879547119,0.0,1.5899289846420288,0.27,0.27,2.0,5,RH solo,-3.9465993819340834,-0.040475406245137506,9.466186670933656
24,2.484736442565918,3.2478387355804443,4.023038387298584,1391.0,13.300000190734863,3.3401694297790527,0.0,1.3917876482009888,0.27,0.27,4.0,5,RH solo,-6.686753331594023,-0.04391361688768677,13.200674144919827
26,2.137500047683716,3.375,4.822908401489258,1067.0,14.68333339691162,3.672839403152466,0.0,2.1806678771972656,0.125,0.125,1.0,2,RH solo,2.6069414755639366,-0.006480368728229258,2.6069414755639366
27,2.1466667652130127,3.3645832538604736,4.701667785644531,1099.0,14.350000381469728,3.60570764541626,0.0,2.0525355339050293,0.125,0.125,1.0,5,RH solo,0.7315029983796825,-0.009546810738183,7.5078993610490645
28,2.27406907081604,3.283333301544189,4.643747806549072,1249.0,12.416666984558104,3.587526321411133,0.0,1.952244997024536,0.125,0.125,1.64,5,RH solo,0.2235771558990247,-0.03346486189851605,10.005580266982856
29,2.250001907348633,3.1694488525390625,4.275927543640137,1285.0,14.116666793823242,3.4300613403320312,0.0,1.771567702293396,0.125,0.125,2.0,5,RH solo,-4.175471733678425,-0.0669897317601937,9.205354848024209
30,2.5467501878738403,3.2838196754455566,4.098312139511108,1382.0,14.733333587646484,3.44202208518982,0.0,1.5198851823806765,0.125,0.125,4.0,5,RH solo,-3.841328224279706,-0.03332168500395399,16.652531752248365
32,2.275000095367432,3.5999999046325684,5.188889026641846,1021.0,14.899999618530272,3.892913818359375,0.0,2.259765625,0.0625,0.0625,1.0,2,RH solo,8.755090131893004,0.059754245282654564,8.755090131893004
33,2.066666603088379,3.222022771835327,4.5333333015441895,1038.0,13.016666412353516,3.5136501789093018,0.0,2.10085129737854,0.0625,0.0625,1.0,5,RH solo,-1.840277044646627,-0.05151322185982728,4.7631108707108
34,2.1666667461395264,3.266163825988769,4.557160973548889,1206.0,14.600000381469728,3.502727746963501,0.0,1.9725826978683472,0.0625,0.0625,1.64,5,RH solo,-2.1454135378109287,-0.038519146646056934,7.405371780078863
35,2.418298959732056,3.461904764175415,4.587500095367432,1253.0,14.083333015441896,3.7037642002105713,0.0,1.976573467254639,0.0625,0.0625,2.0,5,RH solo,3.4708776550661473,0.019102324385642903,17.919431644406416
36,2.667593836784363,3.527782201766968,4.321040153503418,1355.0,13.0,3.5971546173095703,0.0,1.525818109512329,0.0625,0.0625,4.0,5,RH solo,0.4925597835936716,0.03849507327603964,21.910081582265768
38,2.762702465057373,3.637458324432373,4.671905994415283,1357.0,11.300000190734863,3.840157270431519,0.0,1.5933887958526611,1.0,0.0,1.0,1,RH solo,7.281247300365967,0.07078111207599534,2.1756527177008786
39,3.1139962673187256,3.8338623046875,4.6801416873931885,1375.0,11.75,3.9796910285949703,0.0,1.43174409866333,1.0,0.0,1.0,2,RH solo,11.179357341729082,0.12859776690366406,11.179357341729082
40,3.2793710231781006,4.050000190734863,4.967398405075073,1367.0,13.283333778381348,4.2042412757873535,0.0,1.5048224925994873,1.0,0.0,1.0,5,RH solo,17.45254588686837,0.19222361367392668,25.353798037814997
41,3.2899961471557617,3.886112689971924,4.585145950317383,1393.0,11.600000381469728,4.023672580718994,0.0,1.2315562963485718,1.0,0.0,1.64,5,RH solo,12.408055917800977,0.1439790360952459,23.379286279978235
42,3.275250256061554,3.892051696777344,4.613255023956299,1396.0,12.350000381469728,4.036243438720703,0.0,1.2775733470916748,1.0,0.0,2.0,5,RH solo,12.759243963260266,0.14572733827345086,28.504814708601167
43,3.012263417243957,3.5783021450042725,4.234721899032593,1410.0,10.283333778381348,3.6945838928222656,0.0,1.130058765411377,1.0,0.0,4.0,5,RH solo,3.2144103393128196,0.053366941535890694,25.212027756360833
3,1.8114198446273804,2.3552117347717285,3.046721398830414,1400.0,14.93333339691162,2.6200027465820312,0.016666667535901,1.3444616794586182,1.0,1.0,1.0,1,RH pooled,-8.129600014580097,-0.09414929955369875,0.0
4,2.092276334762573,2.5999999046325684,3.262732744216919,1401.0,12.783333778381348,2.85184645652771,0.016666667535901,1.265735745429993,1.0,1.0,1.0,2,RH pooled,0.0,0.0,0.0
5,2.208314001560211,2.742675304412842,3.4308014512062077,1400.0,10.210416793823242,2.94325590133667,0.016666667535901,1.2220221757888794,1.0,1.0,1.0,5,RH pooled,3.205272310496558,0.05487515577445235,0.0
6,1.785431146621704,2.256887674331665,2.942041516304016,1407.0,11.972222328186035,2.496655225753784,0.016666667535901,1.1575374603271484,1.0,1.0,1.64,5,RH pooled,-12.45478100551009,-0.13196624726391745,0.0
7,1.5896515250205994,2.055311679840088,2.692279756069184,1406.0,11.766666412353516,2.307521104812622,0.3166666626930237,1.2311382293701172,1.0,1.0,2.0,5,RH pooled,-19.086769221714547,-0.2094954787582793,0.0
8,0.9352491497993468,1.3124618530273438,1.794090986251831,1409.0,10.287009239196776,1.5742329359054563,0.0666666701436042,1.099043369293213,1.0,1.0,4.0,5,RH pooled,-44.79951989343153,-0.49520696108916945,0.0
10,1.6210219860076904,2.095170021057129,2.765986204147339,1407.0,9.838096618652344,2.3624167442321777,0.016666667535901,1.180077075958252,1.0,1.0,1.64,2,RH pooled,-17.161853548435477,-0.19416534695864995,0.0
11,1.3778384923934937,1.8253799676895144,2.48216712474823,1408.0,10.949999809265137,2.1001136302948,0.3261904716491699,1.2145713567733765,1.0,1.0,2.0,2,RH pooled,-26.359512606726692,-0.29793075590613266,0.0
