run,50%
3,3.575000047683716
4,3.397013902664185
5,3.025000095367432
6,2.9989583492279053
7,2.936931848526001
8,2.748016357421875
9,2.6027777194976807
10,3.472908973693848
11,3.323959469795227
12,3.217689275741577
13,3.070210695266724
14,3.642499923706055
15,3.262500047683716
16,3.267779588699341
17,3.2497204542160034
18,3.148810625076294
19,3.103124976158142
20,3.479725956916809
21,3.299999952316284
22,3.41333556175232
23,3.259518384933472
24,3.2478387355804443
25,3.08648943901062
26,3.375
27,3.3645832538604736
28,3.283333301544189
29,3.1694488525390625
30,3.2838196754455566
31,3.263760566711426
32,3.5999999046325684
33,3.222022771835327
34,3.266163825988769
35,3.461904764175415
36,3.527782201766968
37,3.2874984741210938
38,3.637458324432373
39,3.8338623046875
40,4.050000190734863
41,3.886112689971924
42,3.892051696777344
43,3.5783021450042725
44,2.951281309127808
